"current_seed","Nsamp","nullpi","poisthin","pi0hat_ols","pi0hat_biash_ols","pi0hat_biash_voom","pi0hat_ols_ash","pi0hat_succotash","pi0hat_cate_rr","pi0hat_sva_ols","pi0hat_ruvash","pi0hat_cate_nc","pi0hat_ruv2","pi0hat_ruv4"
44,5,0.9,TRUE,1,0.978788161660506,0.90562853768931,0.97990940696026,0.550154204144705,0.486576984341066,0.762543261566884,0.906902665232799,0.69673716700281,0.922077047684849,0.62888145552365
45,5,0.9,TRUE,1,0.939423027600411,0.851959952741157,0.958970811778545,0.918708898367029,0.542818568421269,0.705914892433346,0.949834580589867,0.47630252180022,0.783733015889145,0.565561068844495
46,5,0.9,TRUE,1,0.910182614933278,0.813098987172994,0.921447000980562,0.76022782070817,0.965894991902201,0.917478820238207,0.930937831128011,0.921101276531404,1,1
47,5,0.9,TRUE,0.659621110373974,0.941284461132717,0.869763253592026,0.973232168480789,0.70136651183341,0.706137171738138,1,0.883338240336532,0.827396762936874,1,0.9453563796054
48,5,0.9,TRUE,0.836031497404736,0.870685544057645,0.931145762412209,0.155570188597706,0.946926173300175,0.467469392680114,0.616744612883526,0.966511897304821,0.518455391696179,0.836344266947128,0.530090125965048
49,5,0.9,TRUE,0.754122550990697,0.936481849006838,0.863820945847497,0.285568838872192,0.770313161489721,0.495814923328525,0.582521075932388,0.914065844478848,0.38371833908504,0.693446746001988,0.60637989822178
50,5,0.9,TRUE,0.412980466254853,0.793867580737477,0.88324002092339,0.0440947323988833,0.718593637073159,0.515493493273931,0.770009073521932,0.968271393207913,0.533466763820552,0.777483418476108,0.59167133987793
51,5,0.9,TRUE,0.909589195690878,0.933040452881642,0.909211550401135,0.95615042574398,0.898317523015687,0.893139837323874,1,0.9368411004588,0.917107094078867,1,1
52,5,0.9,TRUE,1,0.925146379194237,0.911862072745858,0.931181661085534,0.912362117476495,0.972191150936979,1,0.930225490649114,0.990046259198521,1,1
53,5,0.9,TRUE,0.978732562905108,0.890320077099922,0.886489241574591,0.645876510435425,0.772876079827529,0.536311333795088,0.766582524936204,0.912470870575833,0.568801679470203,0.830824592153992,0.656800326648919
54,5,0.9,TRUE,0.758716090664984,0.942199806238517,0.935511443087036,0.617159851507583,0.7049317267528,0.507416581738708,0.736362496206476,0.951691346065494,0.63995269961078,0.755171138068141,0.722550381239874
55,5,0.9,TRUE,1,0.943087284099254,0.923563954922688,0.944893035233638,0.87937804271677,0.917274916497082,1,0.917482486980039,0.945569722780733,1,1
56,5,0.9,TRUE,0.99419338806089,0.97343925715192,0.923973030041558,0.985936275685317,0.768922299012202,0.751670478561351,0.995541162241495,0.919679594077347,0.740100664754984,0.953074473141066,0.874239118346224
57,5,0.9,TRUE,1,0.968737496251963,0.919084382222103,0.978157975484261,0.531206228233089,0.740422338487425,0.887211632241484,0.937487356191392,0.814367394131281,0.852629976275105,0.88485441241079
58,5,0.9,TRUE,0.844478637668384,0.872858397622691,0.87594820867745,0.593719781232639,0.934806984907854,0.43202594093025,0.779998343391791,0.9700636077587,0.531377784353629,1,0.536322744717206
59,5,0.9,TRUE,0.860692306458186,0.94316551033362,0.957018117535933,0.552999012777874,0.731507825907369,0.595476546442146,0.672815651028438,0.976493981569436,0.544249792824335,0.661583932204662,0.702218210172156
60,5,0.9,TRUE,1,0.936980745334629,0.937190245298021,0.946835951095873,0.732926990543416,0.531642811810489,0.754378007959394,0.969207887670765,0.600652472600403,0.779718456832243,0.733940753751931
61,5,0.9,TRUE,0.567090447543166,0.899106033182706,0.926179488471858,0.196289968341379,0.907868777949837,0.628805823329557,0.833349410338737,0.934829990781944,0.576824009849919,0.944939530508001,0.632291267822627
62,5,0.9,TRUE,1,0.952962519689472,0.894745554978081,0.963700679295824,0.48863819207862,0.682733494341945,0.811560909792272,0.952631073056016,0.579856796242356,0.846720338179667,0.872634771193258
63,5,0.9,TRUE,0.806910467026095,0.88382116890469,0.907970682129814,0.724356363564536,0.663434725259126,0.675460498153478,0.854019453249378,0.928772018737609,0.746370570375012,0.861759536397379,0.834653602199406
64,5,0.9,TRUE,0.539152470844332,0.920593349293331,0.908040465689832,0.324031588962422,0.579617268943831,0.460262476221364,0.755056380556854,0.957366634389587,0.499149083448758,0.571911487881606,0.812915677590007
65,5,0.9,TRUE,1,0.950730667282829,0.889142864828656,0.96757622579731,0.798118668639425,0.802950125781613,0.923638608771002,0.9468052832574,0.856573080208994,1,0.953496592399079
66,5,0.9,TRUE,0.657242213185667,0.922916902099784,0.889336016599464,0.931908683094219,0.769724448114554,0.915035836496199,1,0.934366082356536,0.777658024952812,1,1
67,5,0.9,TRUE,0.755467176818947,0.938396507467658,0.910431935265073,0.272582079326522,0.741874406308914,0.572364579753252,0.904870683983856,0.946921063463878,0.437530599660244,0.807001680086041,0.656381857153839
68,5,0.9,TRUE,1,0.947182300774407,0.904925877764062,0.964219203633626,0.828308965537156,0.621105747661965,0.663061622412604,0.953031509595181,0.614723366840049,0.779309338392754,0.644466329738462
69,5,0.9,TRUE,0.726194561281593,0.871167068503743,0.92547426053165,0.539633738915785,0.797451674120934,0.562585745185589,0.836403718882252,0.950950281418629,0.587321540445337,0.730404103780505,0.783162584767902
70,5,0.9,TRUE,0.932264394833984,0.921933010443036,0.91920180426824,0.863616924864667,0.788813765520716,0.543737011971757,0.621133475222867,0.944068253122065,0.479000225348225,0.56847836861063,0.639942591688689
71,5,0.9,TRUE,0.524591685041067,0.947441269321906,0.908109272313414,0.091022902620054,0.164091267255081,0.270074602692929,0.416849801011091,0.938461789390368,0.307100942030688,0.448361769026522,0.449700744508646
