"current_seed","Nsamp","nullpi","poisthin","mse_ols","mse_biash_ols","mse_biash_voom","mse_ols_ash","mse_succotash","mse_cate_rr","mse_sva_ols","mse_ruvash","mse_cate_nc","mse_ruv2","mse_ruv4"
73,20,0.9,TRUE,0.0542162627353724,0.0216895080376602,0.0192088520809431,0.0250566998591022,0.00731666003024477,0.0240863311297825,0.0237955007843657,0.00755823585845727,0.02423072969063,0.0242947349716572,0.0255296503394215
74,20,0.9,TRUE,0.0747476085740244,0.0133141825850283,0.0187300321506157,0.0144166306668822,0.0114238184797296,0.0387418269802276,0.0373678478280675,0.0113728332413989,0.0404138119841376,0.0399623274841722,0.0400459266109688
75,20,0.9,TRUE,0.0863730110903267,0.0194503038517869,0.0187835334263921,0.0274483915102278,0.0166267435839158,0.0454655194446869,0.0555671944187756,0.0166582853856778,0.0584214637578727,0.045468911896909,0.0495660685708012
76,20,0.9,TRUE,0.0943069841645376,0.0256449654769246,0.0267033691959753,0.0244852940755798,0.0119707815514637,0.0393859352258732,0.049531630821871,0.0121475680490857,0.0455860420109202,0.0414264071514238,0.0409135622056294
77,20,0.9,TRUE,0.0729456263736433,0.0281444588992357,0.0345815750541506,0.0296791133203393,0.015347603479973,0.0363145417542387,0.0359649763257926,0.0151864575397505,0.0375787498012394,0.0372548094503883,0.0368074243566711
78,20,0.9,TRUE,0.0430534356024435,0.0173319602296654,0.0128660353074313,0.0208001660683349,0.0102709077287498,0.0248862038113486,0.0242095568698964,0.0106508782357191,0.0273876532888436,0.0238810648870096,0.0252109624681263
79,20,0.9,TRUE,0.0349279402736695,0.0196256406456213,0.03089465886468,0.0224676761247768,0.0107800796639344,0.0193196222027899,0.0182464330596734,0.0110772551229571,0.0197542663132056,0.0180887366290526,0.0217133348882285
80,20,0.9,TRUE,0.0395605918041223,0.0180078573364124,0.0227014396404954,0.0214303969338524,0.0122375582504124,0.0270513768379918,0.0273824161572066,0.0123603377215523,0.0289088147007859,0.0284583631911429,0.0284607913047961
81,20,0.9,TRUE,0.0644822801780514,0.0203170325099365,0.0120510931363731,0.0228595145270724,0.0115168666189569,0.027277492701419,0.0272184240892929,0.0116340763815638,0.0273077988197299,0.0292389928264059,0.0277897437274277
82,20,0.9,TRUE,0.122018706138265,0.0312765374556048,0.0151954280551817,0.0526904184273564,0.0114451521348078,0.0240929915370573,0.024517292710077,0.011496421028996,0.0252517636091798,0.025943720955364,0.0244157120528371
