"current_seed","Nsamp","nullpi","poisthin","auc_ols","auc_biash_ols","auc_biash_voom","auc_ols_ash","auc_succotash","auc_cate_rr","auc_sva_ols","auc_ruvash","auc_cate_nc","auc_ruv2","auc_ruv4"
5,10,0.5,TRUE,0.778232,0.79216,0.788272,0.793864,0.832416,0.81556,0.765312,0.827464,0.8088,0.814792,0.810432
6,10,0.5,TRUE,0.790092,0.819216,0.835712,0.818096,0.902656,0.865632,0.861784,0.904792,0.875148,0.82996,0.864328
7,10,0.5,TRUE,0.814848,0.830104,0.87792,0.828936,0.879336,0.860464,0.858548,0.878368,0.85588,0.846636,0.85068
8,10,0.5,TRUE,0.719904,0.731888,0.818752,0.724856,0.83512,0.814216,0.772688,0.836664,0.829384,0.812416,0.806408
9,10,0.5,TRUE,0.76594,0.789824,0.820688,0.790008,0.86056,0.829488,0.804808,0.862248,0.846,0.831448,0.836168
10,10,0.5,TRUE,0.833048,0.850504,0.88052,0.850112,0.888144,0.843368,0.833512,0.890736,0.859076,0.847828,0.855688
11,10,0.5,TRUE,0.783892,0.870352,0.879968,0.86852,0.887288,0.868164,0.857904,0.885096,0.870476,0.848744,0.862612
12,10,0.5,TRUE,0.811712,0.82684,0.818312,0.826648,0.894552,0.858816,0.853224,0.89432,0.860824,0.847,0.849556
13,10,0.5,TRUE,0.621784,0.63928,0.88924,0.60692,0.881096,0.855192,0.8366,0.880352,0.860536,0.86468,0.84924
14,10,0.5,TRUE,0.686744,0.702216,0.755208,0.698968,0.87048,0.819516,0.728128,0.87068,0.852244,0.851284,0.820008
15,10,0.5,TRUE,0.808776,0.824104,0.882808,0.824096,0.900592,0.884412,0.866516,0.899696,0.883536,0.858464,0.860804
16,10,0.5,TRUE,0.763188,0.787856,0.853808,0.785408,0.894368,0.85332,0.850568,0.89368,0.870712,0.846448,0.85392
17,10,0.5,TRUE,0.836328,0.83988,0.875328,0.83956,0.872304,0.874056,0.87262,0.87604,0.87836,0.882576,0.879404
18,10,0.5,TRUE,0.78774,0.810944,0.826376,0.810664,0.88776,0.86784,0.852608,0.885952,0.869812,0.858544,0.864784
19,10,0.5,TRUE,0.748504,0.829792,0.840912,0.82888,0.865224,0.830704,0.828256,0.865088,0.838184,0.817648,0.829944
20,10,0.5,TRUE,0.80132,0.81344,0.810328,0.813224,0.862288,0.856904,0.849072,0.859784,0.851352,0.847176,0.853272
21,10,0.5,TRUE,0.684932,0.703056,0.821,0.687832,0.844136,0.808492,0.77228,0.845624,0.834504,0.825456,0.821348
22,10,0.5,TRUE,0.804728,0.835776,0.858336,0.835896,0.8904,0.868224,0.8543,0.88704,0.868072,0.8566,0.864024
23,10,0.5,TRUE,0.7868,0.851696,0.853568,0.8498,0.867,0.85792,0.847064,0.865624,0.865328,0.862344,0.862028
24,10,0.5,TRUE,0.769608,0.847168,0.864968,0.846304,0.878312,0.85524,0.83448,0.876368,0.857088,0.846516,0.849808
25,10,0.5,TRUE,0.806528,0.864224,0.862984,0.863872,0.89872,0.8784,0.84996,0.897208,0.882336,0.874144,0.877212
26,10,0.5,TRUE,0.803864,0.800984,0.84244,0.800816,0.866616,0.838488,0.844608,0.867504,0.855576,0.844892,0.846576
27,10,0.5,TRUE,0.767564,0.791,0.785096,0.790448,0.882184,0.827788,0.828024,0.88356,0.844384,0.821048,0.832232
28,10,0.5,TRUE,0.744608,0.860984,0.857104,0.8606,0.868352,0.838556,0.832896,0.867576,0.839632,0.836632,0.834712
29,10,0.5,TRUE,0.768264,0.870056,0.877024,0.868504,0.897064,0.882748,0.881476,0.897744,0.881704,0.869544,0.880032
30,10,0.5,TRUE,0.784792,0.874608,0.883768,0.87304,0.888368,0.873624,0.868264,0.887904,0.875112,0.867232,0.872624
31,10,0.5,TRUE,0.750224,0.78068,0.82532,0.770432,0.870064,0.841444,0.842248,0.869536,0.844184,0.843204,0.83748
32,10,0.5,TRUE,0.768,0.84456,0.862912,0.843896,0.868664,0.837276,0.8388,0.867264,0.842388,0.836484,0.83812
33,10,0.5,TRUE,0.724732,0.84,0.851744,0.838488,0.877008,0.859756,0.852156,0.876944,0.860856,0.851096,0.847768
34,10,0.5,TRUE,0.79344,0.847496,0.862944,0.847152,0.866456,0.8501,0.851752,0.86288,0.857656,0.842276,0.846716
35,10,0.5,TRUE,0.75056,0.85608,0.874624,0.854608,0.886312,0.866124,0.846024,0.879776,0.853356,0.846104,0.853096
36,10,0.5,TRUE,0.7975,0.80704,0.804616,0.8068,0.879896,0.853504,0.853544,0.876776,0.856472,0.855808,0.852512
37,10,0.5,TRUE,0.795452,0.804872,0.807928,0.805032,0.87352,0.85772,0.857192,0.870968,0.856844,0.858304,0.857344
38,10,0.5,TRUE,0.799792,0.83152,0.880416,0.832568,0.915528,0.859612,0.843264,0.914752,0.867784,0.836688,0.845888
39,10,0.5,TRUE,0.752528,0.761144,0.76868,0.762344,0.8332,0.828552,0.819296,0.833144,0.831032,0.811384,0.820944
40,10,0.5,TRUE,0.79656,0.853576,0.838208,0.853048,0.879488,0.837432,0.835444,0.879224,0.849816,0.846392,0.843236
41,10,0.5,TRUE,0.768736,0.788368,0.870584,0.787616,0.872224,0.8494,0.853248,0.8712,0.853672,0.834348,0.85056
42,10,0.5,TRUE,0.565044,0.575088,0.844984,0.552912,0.836264,0.801736,0.687176,0.833536,0.818568,0.819112,0.805
43,10,0.5,TRUE,0.61932,0.643104,0.80212,0.619608,0.852832,0.830888,0.72808,0.853192,0.834956,0.81672,0.825284
44,10,0.5,TRUE,0.784616,0.830512,0.844552,0.829008,0.851768,0.839328,0.837852,0.848336,0.843096,0.844092,0.843112
45,10,0.5,TRUE,0.720432,0.740032,0.88116,0.730176,0.880256,0.843948,0.835856,0.880352,0.84704,0.836648,0.841152
46,10,0.5,TRUE,0.73394,0.878944,0.895256,0.877224,0.894064,0.86262,0.860076,0.893872,0.875832,0.859504,0.861672
47,10,0.5,TRUE,0.778472,0.858792,0.865144,0.857392,0.895032,0.875276,0.84528,0.891776,0.884396,0.850616,0.875896
48,10,0.5,TRUE,0.740088,0.819624,0.828872,0.817904,0.839704,0.837872,0.839708,0.834952,0.827696,0.837192,0.835512
49,10,0.5,TRUE,0.8314,0.871928,0.87584,0.870704,0.885472,0.878,0.870704,0.879328,0.873756,0.866356,0.87276
50,10,0.5,TRUE,0.784032,0.801024,0.817248,0.800904,0.8926,0.87438,0.844008,0.88884,0.877648,0.810208,0.860096
51,10,0.5,TRUE,0.810012,0.83088,0.856928,0.831496,0.884032,0.87096,0.857024,0.882568,0.88312,0.87248,0.87864
52,10,0.5,TRUE,0.824384,0.837432,0.849496,0.837,0.848808,0.817376,0.828872,0.854056,0.830616,0.814744,0.82734
53,10,0.5,TRUE,0.662952,0.687984,0.886992,0.653696,0.91356,0.88442,0.806648,0.914072,0.880712,0.843464,0.872428
54,10,0.5,TRUE,0.750864,0.769112,0.778896,0.768704,0.867456,0.841296,0.838968,0.868048,0.851596,0.853648,0.84652
55,10,0.5,TRUE,0.839808,0.850408,0.883448,0.850984,0.876024,0.875068,0.869776,0.875664,0.876808,0.871456,0.874244
56,10,0.5,TRUE,0.753156,0.758616,0.845832,0.750696,0.849896,0.817688,0.797512,0.850928,0.819712,0.812848,0.819108
57,10,0.5,TRUE,0.768568,0.787776,0.867264,0.788296,0.864248,0.843048,0.847112,0.8634,0.847024,0.850192,0.84446
58,10,0.5,TRUE,0.757496,0.766408,0.804552,0.763544,0.858056,0.839744,0.819552,0.857096,0.84058,0.833744,0.833616
59,10,0.5,TRUE,0.79134,0.866832,0.870896,0.86588,0.877528,0.850348,0.827776,0.876264,0.85922,0.83446,0.852416
60,10,0.5,TRUE,0.650384,0.652576,0.72604,0.655176,0.838744,0.811224,0.757532,0.837024,0.814304,0.82432,0.811808
61,10,0.5,TRUE,0.788816,0.843272,0.863192,0.843152,0.86656,0.839256,0.844208,0.86404,0.83556,0.830156,0.822516
62,10,0.5,TRUE,0.806788,0.866568,0.89788,0.865552,0.916616,0.88774,0.889956,0.91644,0.894052,0.88716,0.893032
63,10,0.5,TRUE,0.674476,0.699944,0.87968,0.675656,0.881672,0.847996,0.811928,0.881168,0.860088,0.850568,0.848352
64,10,0.5,TRUE,0.771636,0.77988,0.842168,0.780184,0.900016,0.885192,0.871208,0.897184,0.885784,0.875568,0.870672
65,10,0.5,TRUE,0.814472,0.85332,0.855712,0.852264,0.891736,0.857436,0.848512,0.88948,0.864152,0.837856,0.842484
66,10,0.5,TRUE,0.793012,0.843768,0.849488,0.843344,0.88092,0.846776,0.839424,0.881344,0.857608,0.840928,0.84772
67,10,0.5,TRUE,0.763912,0.789776,0.838984,0.786496,0.869344,0.836924,0.834488,0.866928,0.839232,0.835984,0.837832
68,10,0.5,TRUE,0.797832,0.846544,0.860672,0.845688,0.868416,0.862504,0.862044,0.86848,0.861736,0.857144,0.86436
69,10,0.5,TRUE,0.840016,0.860752,0.881576,0.860624,0.910624,0.902008,0.881096,0.91412,0.900496,0.883236,0.906776
70,10,0.5,TRUE,0.801784,0.815832,0.851112,0.815328,0.888072,0.866312,0.861496,0.883856,0.873836,0.861136,0.870624
71,10,0.5,TRUE,0.732144,0.767896,0.880696,0.745416,0.882832,0.852752,0.850504,0.883888,0.85648,0.851296,0.850236
72,10,0.5,TRUE,0.63412,0.67644,0.862176,0.636064,0.859232,0.821024,0.806052,0.859856,0.83292,0.831792,0.829092
73,10,0.5,TRUE,0.73148,0.747128,0.8412,0.73712,0.884584,0.859632,0.814136,0.883912,0.8622,0.858464,0.86258
74,10,0.5,TRUE,0.794376,0.813512,0.818192,0.81368,0.838472,0.813708,0.816816,0.83944,0.822192,0.817872,0.819192
75,10,0.5,TRUE,0.807344,0.868896,0.867712,0.867968,0.892952,0.85904,0.854888,0.893888,0.858536,0.851592,0.857424
76,10,0.5,TRUE,0.794012,0.845784,0.851816,0.845504,0.887688,0.878872,0.881088,0.885624,0.8756,0.870504,0.874664
77,10,0.5,TRUE,0.66994,0.695936,0.827576,0.676888,0.852496,0.829288,0.769104,0.851696,0.838524,0.827524,0.836176
78,10,0.5,TRUE,0.753944,0.856824,0.861544,0.855616,0.865984,0.85308,0.855456,0.866056,0.853992,0.850516,0.852848
79,10,0.5,TRUE,0.778116,0.782384,0.842728,0.78184,0.856512,0.860448,0.862528,0.852808,0.850048,0.851076,0.839128
80,10,0.5,TRUE,0.693072,0.720376,0.819608,0.70624,0.844304,0.807492,0.80212,0.841872,0.811424,0.806344,0.804704
